"","Subject","Word","Condition","Instance","Guess","Gold","Correct","Simulation","Model"
"1",1,"heek","High-Absent",1,"fish","book",0,1,"PURSUIT"
"2",1,"smick","High-Absent",1,"cat","ball",0,1,"PURSUIT"
"3",1,"toop","High-Absent",1,"bird","car",0,1,"PURSUIT"
"4",1,"irp","High-Absent",1,"hand","hand",1,1,"PURSUIT"
"5",1,"moke","High-Absent",1,"car","fish",0,1,"PURSUIT"
"6",1,"zud","High-Absent",1,"dog","bear",0,1,"PURSUIT"
"7",1,"wode","High-Absent",1,"dog","door",0,1,"PURSUIT"
"8",1,"glemp","High-Absent",1,"bear","bird",0,1,"PURSUIT"
"9",1,"heek","High-Absent",2,"ball","book",0,1,"PURSUIT"
"10",1,"smick","High-Absent",2,"door","ball",0,1,"PURSUIT"
"11",1,"toop","High-Absent",2,"ball","car",0,1,"PURSUIT"
"12",1,"irp","High-Absent",2,"dog","hand",0,1,"PURSUIT"
"13",1,"moke","High-Absent",2,"cat","fish",0,1,"PURSUIT"
"14",1,"zud","High-Absent",2,"shoe","bear",0,1,"PURSUIT"
"15",1,"wode","High-Absent",2,"bear","door",0,1,"PURSUIT"
"16",1,"glemp","High-Absent",2,"door","bird",0,1,"PURSUIT"
"17",1,"heek","High-Absent",3,"fish","book",0,1,"PURSUIT"
"18",1,"smick","High-Absent",3,"ball","ball",1,1,"PURSUIT"
"19",1,"toop","High-Absent",3,"cat","car",0,1,"PURSUIT"
"20",1,"irp","High-Absent",3,"hand","hand",1,1,"PURSUIT"
"21",1,"moke","High-Absent",3,"hand","fish",0,1,"PURSUIT"
"22",1,"zud","High-Absent",3,"shoe","bear",0,1,"PURSUIT"
"23",1,"wode","High-Absent",3,"book","door",0,1,"PURSUIT"
"24",1,"glemp","High-Absent",3,"bird","bird",1,1,"PURSUIT"
"25",1,"heek","High-Absent",4,"hand","book",0,1,"PURSUIT"
"26",1,"smick","High-Absent",4,"book","ball",0,1,"PURSUIT"
"27",1,"toop","High-Absent",4,"car","car",1,1,"PURSUIT"
"28",1,"irp","High-Absent",4,"hand","hand",1,1,"PURSUIT"
"29",1,"moke","High-Absent",4,"eye","fish",0,1,"PURSUIT"
"30",1,"zud","High-Absent",4,"hand","bear",0,1,"PURSUIT"
"31",1,"wode","High-Absent",4,"dog","door",0,1,"PURSUIT"
"32",1,"glemp","High-Absent",4,"bird","bird",1,1,"PURSUIT"
"33",1,"heek","High-Absent",5,"door","book",0,1,"PURSUIT"
"34",1,"smick","High-Absent",5,"bird","ball",0,1,"PURSUIT"
"35",1,"toop","High-Absent",5,"bird","car",0,1,"PURSUIT"
"36",1,"irp","High-Absent",5,"hand","hand",1,1,"PURSUIT"
"37",1,"moke","High-Absent",5,"door","fish",0,1,"PURSUIT"
"38",1,"zud","High-Absent",5,"cat","bear",0,1,"PURSUIT"
"39",1,"wode","High-Absent",5,"door","door",1,1,"PURSUIT"
"40",1,"glemp","High-Absent",5,"bear","bird",0,1,"PURSUIT"
"41",1,"heek","High-Absent",1,"fish","book",0,2,"PURSUIT"
"42",1,"smick","High-Absent",1,"eye","ball",0,2,"PURSUIT"
"43",1,"toop","High-Absent",1,"eye","car",0,2,"PURSUIT"
"44",1,"irp","High-Absent",1,"cat","hand",0,2,"PURSUIT"
"45",1,"moke","High-Absent",1,"car","fish",0,2,"PURSUIT"
"46",1,"zud","High-Absent",1,"dog","bear",0,2,"PURSUIT"
"47",1,"wode","High-Absent",1,"dog","door",0,2,"PURSUIT"
"48",1,"glemp","High-Absent",1,"bird","bird",1,2,"PURSUIT"
"49",1,"heek","High-Absent",2,"cat","book",0,2,"PURSUIT"
"50",1,"smick","High-Absent",2,"car","ball",0,2,"PURSUIT"
"51",1,"toop","High-Absent",2,"shoe","car",0,2,"PURSUIT"
"52",1,"irp","High-Absent",2,"car","hand",0,2,"PURSUIT"
"53",1,"moke","High-Absent",2,"dog","fish",0,2,"PURSUIT"
"54",1,"zud","High-Absent",2,"bear","bear",1,2,"PURSUIT"
"55",1,"wode","High-Absent",2,"door","door",1,2,"PURSUIT"
"56",1,"glemp","High-Absent",2,"door","bird",0,2,"PURSUIT"
"57",1,"heek","High-Absent",3,"fish","book",0,2,"PURSUIT"
"58",1,"smick","High-Absent",3,"book","ball",0,2,"PURSUIT"
"59",1,"toop","High-Absent",3,"cat","car",0,2,"PURSUIT"
"60",1,"irp","High-Absent",3,"dog","hand",0,2,"PURSUIT"
"61",1,"moke","High-Absent",3,"fish","fish",1,2,"PURSUIT"
"62",1,"zud","High-Absent",3,"hand","bear",0,2,"PURSUIT"
"63",1,"wode","High-Absent",3,"cat","door",0,2,"PURSUIT"
"64",1,"glemp","High-Absent",3,"door","bird",0,2,"PURSUIT"
"65",1,"heek","High-Absent",4,"hand","book",0,2,"PURSUIT"
"66",1,"smick","High-Absent",4,"shoe","ball",0,2,"PURSUIT"
"67",1,"toop","High-Absent",4,"door","car",0,2,"PURSUIT"
"68",1,"irp","High-Absent",4,"book","hand",0,2,"PURSUIT"
"69",1,"moke","High-Absent",4,"fish","fish",1,2,"PURSUIT"
"70",1,"zud","High-Absent",4,"bird","bear",0,2,"PURSUIT"
"71",1,"wode","High-Absent",4,"car","door",0,2,"PURSUIT"
"72",1,"glemp","High-Absent",4,"bird","bird",1,2,"PURSUIT"
"73",1,"heek","High-Absent",5,"door","book",0,2,"PURSUIT"
"74",1,"smick","High-Absent",5,"ball","ball",1,2,"PURSUIT"
"75",1,"toop","High-Absent",5,"bird","car",0,2,"PURSUIT"
"76",1,"irp","High-Absent",5,"cat","hand",0,2,"PURSUIT"
"77",1,"moke","High-Absent",5,"fish","fish",1,2,"PURSUIT"
"78",1,"zud","High-Absent",5,"ball","bear",0,2,"PURSUIT"
"79",1,"wode","High-Absent",5,"door","door",1,2,"PURSUIT"
"80",1,"glemp","High-Absent",5,"bird","bird",1,2,"PURSUIT"
"81",1,"heek","High-Absent",1,"fish","book",0,3,"PURSUIT"
"82",1,"smick","High-Absent",1,"eye","ball",0,3,"PURSUIT"
"83",1,"toop","High-Absent",1,"bird","car",0,3,"PURSUIT"
"84",1,"irp","High-Absent",1,"door","hand",0,3,"PURSUIT"
"85",1,"moke","High-Absent",1,"shoe","fish",0,3,"PURSUIT"
"86",1,"zud","High-Absent",1,"car","bear",0,3,"PURSUIT"
"87",1,"wode","High-Absent",1,"bird","door",0,3,"PURSUIT"
"88",1,"glemp","High-Absent",1,"fish","bird",0,3,"PURSUIT"
"89",1,"heek","High-Absent",2,"book","book",1,3,"PURSUIT"
"90",1,"smick","High-Absent",2,"bird","ball",0,3,"PURSUIT"
"91",1,"toop","High-Absent",2,"ball","car",0,3,"PURSUIT"
"92",1,"irp","High-Absent",2,"car","hand",0,3,"PURSUIT"
"93",1,"moke","High-Absent",2,"cat","fish",0,3,"PURSUIT"
"94",1,"zud","High-Absent",2,"car","bear",0,3,"PURSUIT"
"95",1,"wode","High-Absent",2,"bird","door",0,3,"PURSUIT"
"96",1,"glemp","High-Absent",2,"hand","bird",0,3,"PURSUIT"
"97",1,"heek","High-Absent",3,"book","book",1,3,"PURSUIT"
"98",1,"smick","High-Absent",3,"door","ball",0,3,"PURSUIT"
"99",1,"toop","High-Absent",3,"cat","car",0,3,"PURSUIT"
"100",1,"irp","High-Absent",3,"fish","hand",0,3,"PURSUIT"
"101",1,"moke","High-Absent",3,"hand","fish",0,3,"PURSUIT"
"102",1,"zud","High-Absent",3,"cat","bear",0,3,"PURSUIT"
"103",1,"wode","High-Absent",3,"cat","door",0,3,"PURSUIT"
"104",1,"glemp","High-Absent",3,"bird","bird",1,3,"PURSUIT"
"105",1,"heek","High-Absent",4,"book","book",1,3,"PURSUIT"
"106",1,"smick","High-Absent",4,"shoe","ball",0,3,"PURSUIT"
"107",1,"toop","High-Absent",4,"eye","car",0,3,"PURSUIT"
"108",1,"irp","High-Absent",4,"hand","hand",1,3,"PURSUIT"
"109",1,"moke","High-Absent",4,"shoe","fish",0,3,"PURSUIT"
"110",1,"zud","High-Absent",4,"bird","bear",0,3,"PURSUIT"
"111",1,"wode","High-Absent",4,"fish","door",0,3,"PURSUIT"
"112",1,"glemp","High-Absent",4,"bird","bird",1,3,"PURSUIT"
"113",1,"heek","High-Absent",5,"door","book",0,3,"PURSUIT"
"114",1,"smick","High-Absent",5,"hand","ball",0,3,"PURSUIT"
"115",1,"toop","High-Absent",5,"bird","car",0,3,"PURSUIT"
"116",1,"irp","High-Absent",5,"cat","hand",0,3,"PURSUIT"
